#,Intensity,KB0_x,KB0_y,KB0_d,KB0_led
0,1.8209125,1238.0,2320.0,-1.8678605391359395,0.0
1,2.03575,1223.0,2302.0,-1.82731293943922,0.0
2,2.241025,1208.0,2284.0,-1.7654818661788465,0.0
3,2.43514375,1192.0,2266.0,-1.765816594199818,0.0
4,2.6640770833333334,1176.0,2245.0,-1.766077724889796,0.0
5,2.7868666666666666,1159.0,2227.0,-1.7580502465283796,0.0
6,2.851820833333333,1143.0,2206.0,-1.7681918866447774,0.0
7,2.8714416666666667,1135.0,2168.0,-2.150799101002577,0.0
8,2.86875,1129.0,2146.0,-2.20862641887835,0.0
9,2.8551854166666666,1109.0,2152.0,-1.826441252072832,0.0
10,2.890885416666667,1114.0,2107.0,-2.214297435588181,0.0
11,2.887272916666667,1093.0,2111.0,-1.8379388476605918,0.0
12,2.875302083333333,1096.0,2071.0,-2.281334642481578,0.0
13,2.8742041666666664,1075.0,2071.0,-1.8178936308196132,0.0
14,2.9089125,1064.0,2053.0,-1.8490959858000082,0.0
15,2.88065,1067.0,2014.0,-2.312743594800814,0.0
16,2.8812166666666665,1057.0,1997.0,-2.2879775232939887,0.0
17,2.91433125,1036.0,1996.0,-1.868028634612588,0.0
18,2.9405041666666665,1036.0,1957.0,-2.3685395420365696,0.0
19,2.9155,1027.0,1936.0,-2.3686938392117067,0.0
20,2.9353333333333333,1001.0,1940.0,-1.9040406279065691,0.0
21,2.93451875,991.0,1922.0,-1.9513027039072612,0.0
22,2.92963125,979.0,1904.0,-1.9367170284369841,0.0
23,2.9263375,968.0,1882.0,-1.9481922940313212,0.0
24,2.9739020833333334,956.0,1865.0,-1.942114601064104,0.0
25,2.9495,955.0,1834.0,-2.4142686497552988,0.0
26,2.945214583333333,941.0,1816.0,-2.432071927317832,0.0
27,2.9675625,916.0,1807.0,-2.0383198853783897,0.0
28,2.9585666666666666,917.0,1780.0,-2.4604661021200003,0.0
29,2.9382375,904.0,1763.0,-2.4668517113662407,0.0
30,2.967952083333333,890.0,1748.0,-2.471953707913156,0.0
31,2.98265,875.0,1730.0,-2.4834107072602327,0.0
32,2.973264583333333,845.0,1730.0,-2.0049322112442587,0.0
33,2.9715291666666666,841.0,1714.0,-2.1939956567289625,0.0
34,3.0031916666666665,821.0,1699.0,-2.0988707752212563,0.0
35,2.98700625,809.0,1681.0,-2.181522291184105,0.0
36,2.9905125,784.0,1657.0,-2.072886525816891,0.0
37,3.0110895833333333,772.0,1646.0,-2.0810052410631736,0.0
38,3.02759375,770.0,1616.0,-2.496509267635961,0.0
39,3.004502083333333,736.0,1612.0,-2.0344439357957027,0.0
40,3.00846875,728.0,1600.0,-2.1929542074075075,0.0
