#,Intensity,KB0_x,KB0_y,KB0_d,KB0_led
0,2.966252083333333,877.0,2050.0,-1.3332616948992841,0.0
1,2.986545833333333,880.0,2014.0,-1.3955299507918155,0.0
2,3.000358333333333,880.0,1979.0,-1.3332616948992841,0.0
3,3.0014916666666664,880.0,1945.0,-1.2654377467062596,0.0
4,3.134127083333333,880.0,1913.0,-1.1961151265121204,0.0
5,3.644233333333333,883.0,1879.0,-1.1391013094785702,0.0
6,3.81214375,887.0,1844.0,-1.059565614517107,0.0
7,4.749410416666667,889.0,1813.0,-0.9745971854974164,0.0
8,6.135441666666668,898.0,1769.0,-0.7780990229537511,0.0
9,7.854779166666668,901.0,1747.0,-0.8641821243865921,0.0
10,10.225889583333334,,,,
11,13.1794625,922.0,1627.0,-0.906750163968212,0.0
12,14.799952083333332,934.0,1564.0,-0.95937879958371,0.0
13,15.070889583333333,,,,
14,15.932895833333333,,,,
15,16.353858333333335,,,,
16,16.797947916666665,,,,
17,16.62121875,961.0,1301.0,-0.7266423406817256,0.0
18,15.972172916666667,967.0,1291.0,-0.7615931372123783,0.0
19,16.195297916666668,982.0,1291.0,-0.7968919101124788,0.0
20,16.94528125,979.0,1279.0,-0.975386451316164,0.0
21,17.10869375,988.0,1280.0,-1.0563450137358688,0.0
22,16.872216666666667,988.0,1282.0,-1.0957855705298,0.0
23,16.801560416666668,985.0,1292.0,-1.0563450137358688,0.0
24,16.875652083333332,997.0,1292.0,-1.0960994437147218,0.0
25,16.7915375,997.0,1291.0,-1.1186424645091209,0.0
26,16.715497916666667,991.0,1291.0,-1.0714496051147666,0.0
27,16.694035416666665,979.0,1288.0,-1.1365520059980956,0.0
28,17.019585416666665,976.0,1294.0,-1.2220253232109897,0.0
29,17.351722916666667,964.0,1301.0,-1.5449400214356368,0.0
30,17.6307,952.0,1304.0,-1.5148547555613356,0.0
31,17.488927083333333,940.0,1298.0,-1.44547234030335,0.0
32,16.634464583333333,938.0,1291.0,-1.3894765523934065,0.0
33,15.0821875,917.0,1273.0,-1.3011078650539836,0.0
34,12.954885416666665,907.0,1253.0,-1.2220253232109897,0.0
35,10.098672916666667,907.0,1232.0,-1.1583858851975093,0.0
36,7.7379041666666675,904.0,1210.0,-1.1434963388131112,0.0
37,5.522910416666668,886.0,1180.0,-0.9892314025524164,0.0
38,3.870616666666667,892.0,1154.0,-0.9305685287331226,0.0
39,3.079833333333333,892.0,1124.0,-0.8728935041998396,0.0
40,3.0478520833333334,886.0,1090.0,-0.7853981633974483,0.0
41,3.035633333333333,892.0,1057.0,-0.7195593940947546,0.0
42,3.036270833333333,904.0,1024.0,-0.6624262938331512,0.0
43,2.97744375,916.0,991.0,-0.5969110538492552,0.0
44,2.9733354166666666,928.0,959.0,-0.5543074962015512,0.0
45,2.93749375,943.0,932.0,-0.5375866466587464,0.0
46,2.9326416666666666,952.0,877.0,-0.5013655614676703,0.0
47,2.893470833333333,970.0,868.0,-0.5055810548742051,0.0
48,2.883625,988.0,820.0,-0.4899573262537283,0.0
49,2.881464583333333,1012.0,814.0,-0.5102089142682771,0.0
50,2.87544375,1034.0,791.0,-0.5078991447336699,0.0
51,2.835175,1058.0,763.0,-0.5078991447336699,0.0
52,2.8014229166666667,1081.0,730.0,-0.4885534900210453,0.0
53,2.78088125,1108.0,703.0,-0.4818274240737844,0.0
54,2.7584979166666668,1132.0,649.0,-0.4523698916624106,0.0
55,2.6891875,1160.0,646.0,-0.4492601126118805,0.0
56,2.6825645833333334,1186.0,626.0,-0.4563484685571089,0.0
57,2.6348583333333333,1213.0,595.0,-0.4351855462038585,0.0
58,2.62214375,1240.0,568.0,-0.4214192068878042,0.0
59,2.61916875,1271.0,517.0,-0.3928705074646477,0.0
60,2.6193104166666665,1300.0,493.0,-0.3835275159569918,0.0
61,2.606772916666667,1330.0,490.0,-0.3893167218331409,0.0
62,2.59579375,1360.0,466.0,-0.3790443898498927,0.0
63,2.574614583333333,1390.0,443.0,-0.3541581568562275,0.0
64,2.5744729166666667,1427.0,391.0,-0.3138351524279088,0.0
65,2.561722916666666,1453.0,394.0,-0.32670100900548565,0.0
66,2.546989583333333,1486.0,370.0,-0.31180063400383695,0.0
67,2.5289625,1520.0,346.0,-0.29675576077772203,0.0
68,2.4652833333333333,1552.0,319.0,-0.3167000922875696,0.0
69,2.47275625,1582.0,347.0,-0.4949962208490071,0.0
70,2.483310416666667,1609.0,352.0,-0.5297532381195128,0.0
71,2.519470833333333,1639.0,355.0,-0.5793260316987661,0.0
72,2.5311583333333334,1672.0,349.0,-0.6435011087932844,0.0
73,2.5300604166666667,1708.0,343.0,-0.6917502372807489,0.0
74,2.5151854166666667,1744.0,340.0,-0.7744095947147147,0.0
75,2.5374979166666667,1777.0,340.0,-0.8563172786876986,0.0
76,2.5454666666666665,1811.0,335.0,-0.942561207548392,0.0
77,2.56243125,1843.0,343.0,-1.0726796167945825,0.0
78,2.5833979166666667,1876.0,346.0,-1.1902899496825317,0.0
79,2.5937041666666665,1912.0,338.0,-1.2956949511277136,0.0
80,2.6043291666666666,1945.0,340.0,-1.4157995848709557,0.0
81,2.58825,1981.0,337.0,-1.5400368007244274,0.0
82,2.597352083333333,2015.0,341.0,-1.64816098622287,0.0
83,2.6313520833333333,2041.0,337.0,-1.7269938366335655,0.0
84,2.5989104166666666,2071.0,335.0,-1.8195063158884195,0.0
85,2.595935416666667,2107.0,341.0,-2.0102272175795486,0.0
86,2.624127083333333,2137.0,319.0,-2.129395642138459,0.0
87,2.609075,2152.0,340.0,-2.165363387471083,0.0
88,2.63956875,2180.0,323.0,-2.2706891965141405,0.0
89,2.5924645833333333,2198.0,323.0,-2.322116778605337,0.0
90,2.5959,2213.0,323.0,-2.361908713711542,0.0
91,2.5840354166666666,2225.0,323.0,-2.3902722017793527,0.0
92,2.573233333333333,2233.0,325.0,-2.4075777923309505,0.0
93,2.59218125,2237.0,325.0,-2.4075777923309505,0.0
94,2.554002083333333,2237.0,320.0,-2.4026726215433483,0.0
95,2.5908,2234.0,319.0,-2.373736550249748,0.0
96,2.598591666666666,2225.0,316.0,-2.332102766767424,0.0
97,2.626145833333333,2207.0,341.0,-2.2516051557107244,0.0
98,2.6362041666666665,2195.0,325.0,-2.230425069431817,0.0
99,2.619275,2177.0,320.0,-2.1541693337887526,0.0
100,2.6235958333333333,2158.0,316.0,-2.07952615111045,0.0
101,2.61321875,2125.0,341.0,-1.9323268796625657,0.0
102,2.6080125,2101.0,343.0,-1.7970154647687948,0.0
103,2.5757125,2098.0,334.0,-1.7081376042618306,0.0
104,2.5618291666666666,2069.0,334.0,-1.5946013529799663,0.0
105,2.5537895833333333,2032.0,340.0,-1.5005993557230262,0.0
106,2.53735625,2005.0,335.0,-1.3840225222521778,0.0
107,2.5202145833333334,1981.0,340.0,-1.2808199161356644,0.0
108,2.4983625,1960.0,343.0,-1.1588268022765205,0.0
109,2.50399375,1936.0,341.0,-1.0277313300504631,0.0
110,2.4845854166666665,1915.0,340.0,-0.9117925840765958,0.0
111,2.4494875,1897.0,346.0,-0.8019712315100658,0.0
112,2.42845,1882.0,347.0,-0.679648878276109,0.0
113,2.384427083333333,1870.0,337.0,-0.5511429498031974,0.0
114,2.371747916666666,1865.0,313.0,-0.4294404252294629,0.0
115,2.36799375,1850.0,341.0,-0.2996411355440586,0.0
116,2.361158333333333,1858.0,322.0,-0.16776305054321075,0.0
117,2.384958333333333,1861.0,319.0,-0.01587168299179005,0.0
118,2.40295,1870.0,319.0,0.11942892601833845,0.0
119,2.3816291666666665,1876.0,340.0,0.17841049935104036,0.0
120,2.39955,1894.0,344.0,0.25307565216460226,0.0
121,2.39816875,1912.0,346.0,0.3713182742692071,0.0
122,2.412264583333333,1933.0,352.0,0.4484396560750689,0.0
123,2.4082625,1954.0,362.0,0.4761992510703738,0.0
