#,Intensity,KB0_x,KB0_y,KB0_d,KB0_led
0,0.0017708333333333332,,,,
1,0.0029041666666666673,,,,
2,0.0031166666666666665,,,,
3,0.0030104166666666673,,,,
4,0.0027270833333333327,,,,
5,0.0021604166666666673,,,,
6,0.0028333333333333327,,,,
7,0.0021604166666666673,,,,
8,0.0032583333333333327,,,,
9,0.00255,,,,
10,0.0020541666666666672,,,,
11,0.00350625,,,,
12,0.0028333333333333327,,,,
13,0.00201875,,,,
14,0.00286875,,,,
15,0.0031166666666666665,,,,
16,0.0027625,,,,
17,0.002975,,,,
18,0.00308125,,,,
19,0.0024083333333333326,,,,
20,0.0030458333333333327,,,,
21,0.0033291666666666665,,,,
22,0.0025145833333333326,,,,
23,0.0021604166666666673,,,,
24,0.0024083333333333326,,,,
25,0.00265625,,,,
26,0.0021604166666666673,,,,
27,0.0018770833333333333,,,,
28,0.0027979166666666673,,,,
29,0.0028333333333333327,,,,
30,0.0029395833333333327,,,,
31,0.0027625,,,,
32,0.0031875,,,,
33,0.0031166666666666665,,,,
34,0.002125,,,,
35,0.0030104166666666673,,,,
36,0.0030458333333333327,,,,
37,0.002975,,,,
38,0.0033645833333333327,,,,
39,0.0018416666666666664,,,,
40,0.0029041666666666673,,,,
41,0.0029041666666666673,,,,
42,0.0031875,,,,
43,0.0023375,,,,
44,0.0027270833333333327,,,,
45,0.0028333333333333327,,,,
46,0.00308125,,,,
47,0.0017708333333333332,,,,
48,0.0026916666666666673,,,,
49,0.0027979166666666673,,,,
50,0.0027625,,,,
51,0.0027625,,,,
52,0.0019479166666666664,,,,
53,0.0020541666666666672,,,,
54,0.0030104166666666673,,,,
55,0.00265625,,,,
56,0.001983333333333333,,,,
57,0.0028333333333333327,,,,
58,0.0032229166666666665,,,,
59,0.0028333333333333327,,,,
60,0.0027979166666666673,,,,
61,0.0031520833333333327,,,,
62,0.0030458333333333327,,,,
63,0.0031166666666666665,,,,
64,0.002975,,,,
65,0.0024083333333333326,,,,
66,0.001983333333333333,,,,
67,0.0031166666666666665,,,,
68,0.0027625,,,,
69,0.00223125,,,,
70,0.0029395833333333327,,,,
71,0.002125,,,,
72,0.0027625,,,,
73,0.0019125,,,,
74,0.00201875,,,,
75,0.0030104166666666673,,,,
76,0.002975,,,,
77,0.0021604166666666673,,,,
78,0.0030458333333333327,,,,
79,0.002089583333333333,,,,
80,0.00201875,,,,
81,0.0030458333333333327,,,,
82,0.0025854166666666673,,,,
83,0.0019125,,,,
84,0.0033291666666666665,,,,
85,0.0033645833333333327,,,,
86,0.00201875,,,,
87,0.00255,,,,
88,0.0032583333333333327,,,,
89,0.0027979166666666673,,,,
90,0.002195833333333333,,,,
91,0.0031520833333333327,,,,
92,0.0031520833333333327,,,,
93,0.0024083333333333326,,,,
94,0.00255,,,,
95,0.0025854166666666673,,,,
96,0.0032229166666666665,,,,
97,0.0021604166666666673,,,,
98,0.002089583333333333,,,,
99,0.0024083333333333326,,,,
100,0.0028333333333333327,,,,
