#,Intensity,KB0_x,KB0_y,KB0_theta,KB0_led
0,0.0,nan,nan,nan,0
1,0.003133544921875,nan,nan,nan,0
2,0.0,nan,nan,nan,0
3,0.00601806640625,nan,nan,nan,0
4,0.08280029296875,nan,nan,nan,0
5,0.14638427734375,nan,nan,nan,0
6,0.289136962890625,nan,nan,nan,0
7,0.29314208984375,nan,nan,nan,0
8,0.300426025390625,nan,nan,nan,0
9,0.31198486328125,nan,nan,nan,0
10,0.33406494140625,nan,nan,nan,0
11,0.33369140625,nan,nan,nan,0
12,0.334998779296875,nan,nan,nan,0
13,0.338485107421875,nan,nan,nan,0
14,0.335849609375,nan,nan,nan,0
15,0.337364501953125,nan,nan,nan,0
16,0.332882080078125,nan,nan,nan,0
17,0.336368408203125,nan,nan,nan,0
18,0.3366796875,nan,nan,nan,0
19,0.337364501953125,nan,nan,nan,0
20,0.334085693359375,nan,nan,nan,0
21,0.34796875,nan,nan,nan,0
22,0.347138671875,nan,nan,nan,0
23,0.335081787109375,nan,nan,nan,0
24,0.34693115234375,nan,nan,nan,0
25,0.336285400390625,nan,nan,nan,0
26,0.3347705078125,nan,nan,nan,0
27,0.3341064453125,nan,nan,nan,0
28,0.3346044921875,nan,nan,nan,0
29,0.332301025390625,nan,nan,nan,0
30,0.342178955078125,nan,nan,nan,0
31,0.332176513671875,nan,nan,nan,0
32,0.333857421875,nan,nan,nan,0
33,0.33174072265625,nan,nan,nan,0
34,0.34244873046875,nan,nan,nan,0
35,0.333089599609375,nan,nan,nan,0
36,0.3279638671875,nan,nan,nan,0
37,0.328524169921875,nan,nan,nan,0
38,0.33008056640625,nan,nan,nan,0
39,0.336741943359375,nan,nan,nan,0
40,0.330931396484375,nan,nan,nan,0
41,0.344295654296875,nan,nan,nan,0
42,0.340560302734375,nan,nan,nan,0
43,0.334542236328125,nan,nan,nan,0
44,0.344793701171875,nan,nan,nan,0
45,1.155074462890625,nan,nan,nan,0
46,2.065047607421875,nan,nan,nan,0
47,2.44993408203125,nan,nan,nan,0
48,2.6427197265625,nan,nan,nan,0
49,2.67696044921875,nan,nan,nan,0
50,2.70169677734375,nan,nan,nan,0
51,2.656063232421875,nan,nan,nan,0
52,2.573968505859375,nan,nan,nan,0
53,2.510799560546875,nan,nan,nan,0
54,2.442857666015625,nan,nan,nan,0
55,2.373504638671875,nan,nan,nan,0
56,2.3299462890625,nan,nan,nan,0
57,2.28117919921875,nan,nan,nan,0
58,2.2217041015625,nan,nan,nan,0
59,2.253765869140625,nan,nan,nan,0
60,2.354578857421875,nan,nan,nan,0
61,2.345572509765625,nan,nan,nan,0
62,2.121990966796875,nan,nan,nan,0
63,1.5058447265625,nan,nan,nan,0
64,0.90474365234375,238,2166,-1.3757127852450992,0
65,0.76844482421875,234,2171,-1.2948430393558858,0
66,0.785067138671875,235,2173,-1.178839815039181,0
67,0.78753662109375,234,2178,-1.0756982159464652,0
68,0.784610595703125,235,2180,-1.0124232046431585,0
69,0.790504150390625,228,2183,-0.9514429063372232,0
70,0.791209716796875,230,2185,-0.906274524123547,0
71,0.78591796875,232,2182,-0.9272378817282441,0
72,0.788013916015625,228,2183,-0.8984727242953099,0
73,0.79168701171875,228,2179,-0.9156899448230318,0
74,0.788013916015625,234,2167,-0.9704107605672068,0
75,0.786768798828125,229,2168,-1.0266976774851866,0
76,0.796729736328125,237,2162,-1.1123429259379023,0
77,0.786976318359375,nan,nan,nan,0
78,0.78529541015625,234,2140,-1.2659195357884405,0
79,0.790836181640625,233,2138,-1.3608272047991097,0
80,0.787806396484375,238,2125,-1.4179243378176967,0
81,0.780418701171875,234,2124,-1.472342876450698,0
82,0.78961181640625,231,2118,-1.5731678446449386,0
83,0.79235107421875,234,2116,-1.648831571049726,0
84,0.781248779296875,234,2113,-1.6751004458631797,0
85,0.787266845703125,236,2115,-1.658284016847122,0
86,0.79185302734375,234,2122,-1.675204017339695,0
87,0.7851708984375,234,2128,-1.6735618376466697,0
88,0.7860009765625,236,2135,-1.5938404222842424,0
89,0.793118896484375,232,2147,-1.5015463014463233,0
90,0.784652099609375,230,2160,-1.462517865548544,0
91,0.785751953125,231,2163,-1.2363570783245326,0
92,0.793720703125,nan,nan,nan,0
93,0.791873779296875,232,2176,-1.027585464211688,0
94,0.78658203125,229,2185,-0.9408888016665857,0
95,0.79426025390625,230,2190,-0.8772933367500402,0
96,0.7928076171875,228,2194,-0.7914712431893283,0
97,0.782825927734375,228,2197,-0.7802327005003677,0
98,0.790628662109375,228,2195,-0.7400064115425411,0
99,0.796439208984375,231,2188,-0.7585454012387594,0
100,0.7893212890625,233,2188,-0.8066086810977287,0
101,0.78803466796875,230,2181,-0.8857675023222598,0
102,0.796605224609375,228,2170,-0.9428134267669446,0
103,0.791749267578125,235,2159,-1.0384952229421023,0
104,0.784693603515625,230,2156,-1.1380501601455455,0
105,0.79226806640625,231,2140,-1.2698562014217352,0
106,0.7846728515625,233,2131,-1.3855604161617805,0
107,0.779215087890625,233,2124,-1.51990853795008,0
108,0.790545654296875,232,2118,-1.6378903860695946,0
109,0.789383544921875,236,2107,-1.6837227099527796,0
110,0.784195556640625,232,2106,-1.6788513738903816,0
111,0.7878271484375,234,2106,-1.6894133329001777,0
112,0.78878173828125,230,2103,-1.685272741831767,0
113,0.78454833984375,233,2108,-1.6291506330162964,0
114,0.7843408203125,234,2113,-1.5830083628669636,0
115,0.7884912109375,236,2119,-1.5193806581139642,0
116,0.781497802734375,239,2129,-1.450703424648557,0
117,0.781622314453125,236,2137,-1.3569566753300855,0
118,0.792579345703125,234,2151,-1.2668322789082307,0
119,0.78811767578125,231,2164,-1.318670281731844,0
120,0.784112548828125,230,2168,-1.2206044082640943,0
121,0.791583251953125,238,2177,-1.01189554182593,0
122,0.7898193359375,225,2185,-0.9278250765062381,0
123,0.785731201171875,227,2190,-0.8295820736978992,0
124,0.792890625,228,2191,-0.7709664730700121,0
125,0.7898193359375,232,2191,-0.7246622285291586,0
126,0.784486083984375,229,2188,-0.6789853587707109,0
127,0.790670166015625,230,2180,-0.7064158440120685,0
128,0.79517333984375,231,2177,-0.7178099629665553,0
129,0.786270751953125,231,2170,-0.8104175358158869,0
130,0.78944580078125,230,2161,-0.9294348256170277,0
131,0.794322509765625,229,2149,-1.0470174536012449,0
132,0.78479736328125,234,2136,-1.1095769906986952,0
133,0.7831787109375,232,2121,-1.2008011022410932,0
134,0.78811767578125,230,2107,-1.3343889722814364,0
135,0.77989990234375,231,2102,-1.4079110476007273,0
136,0.780045166015625,234,2088,-1.5226491826763118,0
137,0.789010009765625,nan,nan,nan,0
138,0.7861669921875,233,2068,-1.6844929848946109,0
139,0.78180908203125,232,2062,-1.777309831558246,0
140,0.788843994140625,235,2062,-1.8041804823610263,0
141,0.788885498046875,234,2061,-1.8038945024370516,0
142,0.780958251953125,nan,nan,nan,0
143,0.784112548828125,230,2075,-1.7010511344246932,0
144,0.787225341796875,234,2078,-1.567944706949664,0
145,0.780169677734375,238,2082,-1.4582906431983682,0
146,0.7773681640625,230,2100,-1.3563820780171296,0
147,0.7843408203125,234,2109,-1.2546802536502168,0
